Front,Back,Tags,Type
"What are the EXACT steps to configure auto-swap for Azure App Service deployment slots to ensure zero-downtime deployments?","1. Create deployment slot (staging)<br>2. Configure during slot creation OR in deployment settings<br>3. Enable Auto-Swap to automatically swap staging to production after deployment completion<br>4. System performs automatic warm-up process before swap<br>5. Fail-safe rollback if deployment health checks fail<br>6. Perfect integration with CI/CD pipelines<br><br>**Key Benefit:** Zero-downtime deployment with automatic warm-up and health validation","App Service,Deployment,Critical Priority,Auto-Swap","MCQ"
"You need to securely connect an App Service to Azure SQL Database. What is the CORRECT sequence to avoid connectivity loss? (Choose the sequence: A-Service Endpoint, B-Disable Public Access, C-VNet Integration, D-Firewall Rules, E-Test)","**Correct Sequence: C→A→D→B→E**<br><br>**C** - VNet Integration: Connect App Service to VNet subnet FIRST<br>**A** - Service Endpoint: Enable Microsoft.Sql service endpoint on the subnet<br>**D** - Firewall Rules: Update SQL Database firewall to allow subnet access<br>**B** - Disable Public Access: Turn off public internet access to SQL Database<br>**E** - Test Connectivity: Verify end-to-end secure connection works<br><br>**CRITICAL:** Must establish VNet integration and service endpoints BEFORE disabling public access to prevent connectivity loss","App Service,Security,VNet,SQL Database,Critical Priority","MCQ"
"What is the complete Container Security Pipeline implementation for Azure Container Registry that ensures only secure images reach production?","**Three-Layer Security Approach:**<br><br>**1. Microsoft Defender for Containers**<br>• Native Azure vulnerability scanning solution<br>• Automatic detection and detailed reporting<br>• Integrated with Azure Security Center<br><br>**2. ACR Tasks for Build Pipeline**<br>• Automated scanning during CI/CD process<br>• Implements shift-left security principles<br>• Catches vulnerabilities early in development<br><br>**3. Azure Policy for Enforcement**<br>• Deny deployment of unscanned images<br>• Block images with critical vulnerabilities<br>• Ensure only compliant images reach production<br><br>**Result:** Defender scans, ACR Tasks automates, Policy enforces = Complete security pipeline","Containers,Security,ACR,Microsoft Defender,Critical Priority","Flip"
"Azure Container Instances (ACI) scaling behavior vs AKS - what is the fundamental limitation and process?","**ACI Fundamental Limitation:** NO in-place auto-scaling support<br><br>**ACI Scaling Process:**<br>1. Delete the existing container group (az container delete)<br>2. Modify deployment template/command with new resource specs (CPU cores, memory GB, container count)<br>3. Redeploy the container group (az container create with updated parameters)<br><br>**ACI vs AKS Comparison:**<br>• **ACI:** Delete/redeploy with brief interruption<br>• **AKS:** In-place Horizontal Pod Autoscaler (HPA) with zero downtime<br><br>**Mnemonic:** ACI = 'A Container, Immutable' - To change it, you must replace it entirely<br><br>**Exam Tip:** Choose AKS for production workloads requiring auto-scaling","ACI,Scaling,Containers,Limitations,Critical Priority","MCQ"
"What are Container Apps ingress configuration options and when would you use each?","**External Ingress:**<br>• Exposes app to internet traffic<br>• Provides public FQDN (e.g., app.kindcliff-123.eastus.azurecontainerapps.io)<br>• Use for: Public-facing APIs, web applications<br><br>**Internal Ingress:**<br>• VNet-only access - no internet exposure<br>• Private connectivity within Container Apps Environment<br>• Use for: Internal microservices, backend APIs<br><br>**Disabled:**<br>• No HTTP ingress at all<br>• Use for: Background jobs, queue processors<br><br>**Key Configuration Points:**<br>• Target Port: Must match the port your container listens on (80, 8080, 3000)<br>• Traffic Splitting: Enable blue/green deployments with revision weight distribution","Container Apps,Ingress,Networking,High Priority","MCQ"
"Explain the difference between Fault Domains (FD) and Update Domains (UD) in Azure and their impact on VM availability.","**Fault Domains (FD) - Hardware Isolation:**<br>• Represents VMs sharing common physical rack, power source, network switch<br>• VMs in same FD can fail together during hardware issues<br>• Maximum 3 fault domains in most Azure regions<br>• Azure automatically distributes VMs across FDs in availability sets<br><br>**Update Domains (UD) - Maintenance Isolation:**<br>• Represents VMs that can be updated/rebooted together during planned maintenance<br>• Only one UD updated at a time during planned maintenance<br>• Up to 20 update domains (default 5)<br>• Ensures portion of application remains running during updates<br><br>**Real-World Impact:**<br>• **Availability Sets:** Distribute VMs across both FDs and UDs automatically<br>• **VMSS Uniform:** Up to 5 fault domains with platform-managed spreading<br>• **VMSS Flexible:** Up to 1000 fault domains with maximum spreading capability<br><br>**Key Concept:** FD = Hardware failure protection, UD = Maintenance isolation","VM,Availability,Fault Domains,Update Domains,High Priority","Flip"
"Compare VMSS Orchestration Modes: Uniform vs Flexible - features, limitations, and use cases.","**Uniform Mode:**<br>• **Instance Identity:** Identical VMs (same size/config)<br>• **Max Fault Domains:** Up to 5 FDs (Platform Managed)<br>• **Scale-in Policy:** Automatic (newest/oldest first)<br>• **Load Balancer:** Required for auto-scaling<br>• **Autoscale Support:** Full support (horizontal)<br>• **Best Use Case:** Stateless apps, web tiers<br><br>**Flexible Mode:**<br>• **Instance Identity:** Mixed VM sizes & types allowed<br>• **Max Fault Domains:** Up to 1000 FDs (Max Spreading)<br>• **Scale-in Policy:** Manual instance selection<br>• **Load Balancer:** Optional (manual assignment)<br>• **Autoscale Support:** Limited (manual management)<br>• **Best Use Case:** Stateful apps, databases<br><br>**Exam Memory Aid:** Uniform = Auto-scaling web apps | Flexible = Manual control for complex workloads","VMSS,Scaling,Orchestration Modes,High Priority","MCQ"
"What is the D-G-W-C sequence for migrating encrypted VMs in Azure and why is each step critical?","**D-G-W-C Sequence: 'Don't Go Without Coffee'**<br><br>**D - Deallocate**<br>• Stop VM and release compute resources<br>• Command: az vm deallocate --resource-group SourceRG --name EncryptedVM<br><br>**G - Create Resource Group**<br>• Prepare destination resource group<br>• Command: az group create --name TargetRG --location eastus<br><br>**W - Wait for Deletion**<br>• CRITICAL STEP: az vm wait --deleted<br>• Prevents 'resource still in use' errors<br>• Must wait for Azure to complete deletion process<br><br>**C - reCreate VM**<br>• Recreate VM with encrypted disk in target RG<br>• Command: az vm create --attach-os-disk EncryptedOSDisk<br><br>**Why Portal Move Fails:** Azure Portal 'Move' button does NOT work for encrypted VMs<br>**Key Vault Access:** Target RG needs permissions to Key Vault containing ADE encryption keys","VM,Encryption,Migration,High Priority","Flip"
"What are the App Service runtime and OS constraints, and which combinations are NOT possible?","**Windows Only Runtimes:**<br>• ASP.NET Framework<br>• .NET Framework (legacy)<br><br>**Linux Only Runtimes:**<br>• Ruby<br>• Docker Multi-Container<br><br>**Cross-Platform Runtimes (Both Windows & Linux):**<br>• .NET Core/.NET 5+<br>• Node.js<br>• PHP<br>• Python<br>• Java<br><br>**CRITICAL EXAM TRAP:**<br>You CANNOT run .NET Framework (requires Windows) and Ruby (requires Linux) in the same App Service Plan because they require different OS types<br><br>**Multiple Apps Constraint:**<br>All apps in a plan share CPU/memory and MUST match the plan OS (all Windows OR all Linux)<br><br>**Code vs Docker Publishing:**<br>• Code: Native runtimes, simpler deployment<br>• Docker: Custom runtimes, more flexibility, multi-container only on Linux","App Service,Runtime,OS Constraints,High Priority","MCQ"
"How do you deploy and configure the Network Watcher Agent, and what are its primary use cases?","**Network Watcher Agent Deployment:**<br><br>**VM Extension Names:**<br>• Windows: Microsoft.Azure.NetworkWatcher.NetworkWatcherAgentWindows<br>• Linux: Microsoft.Azure.NetworkWatcher.NetworkWatcherAgentLinux<br><br>**Deployment Methods:**<br>1. **Azure Portal:** VM → Extensions + Applications → Add NetworkWatcherAgent<br>2. **Azure CLI:** az vm extension set --name NetworkWatcherAgentLinux --publisher Microsoft.Azure.NetworkWatcher<br>3. **Auto-Install:** Automatically deployed when packet capture is initiated<br><br>**Packet Capture Features:**<br>• Traffic filtering by protocol, IPs, ports<br>• Maximum 18000 seconds capture duration<br>• Storage to VM file system or Azure Storage Account<br>• Analysis with Wireshark or Network Monitor (.cap files)<br><br>**Primary Use Cases:**<br>• Network connectivity troubleshooting<br>• Packet loss and performance analysis<br>• Security investigation of suspicious traffic<br>• Application traffic monitoring and bandwidth analysis","Network Watcher,Monitoring,High Priority","Flip"
