Front,Back,Tags,Type
"What are the EXACT auto-swap configuration steps for Azure App Service deployment slots?","1. Configure during slot creation or in deployment settings<br>2. Enable Auto-Swap to automatically swap staging slot to production after deployment completion<br>3. Zero-downtime deployment with automatic warm-up process<br>4. Fail-safe rollback if deployment health checks fail<br>5. Perfect for CI/CD integration with automated pipelines","App Service,Containers,Critical,High Priority","MCQ"
"In VNet + SQL Database security configuration, what is the CORRECT sequence to avoid connectivity loss?","**C→A→D→B→E Sequence:**<br>**C** - VNet Integration (connect App Service to VNet subnet first)<br>**A** - Service Endpoint (enable Microsoft.Sql on subnet)<br>**D** - Firewall rules (update SQL DB to allow subnet access)<br>**B** - Disable public access (turn off internet access to SQL DB)<br>**E** - Test connectivity (verify end-to-end connection)<br><br>**Critical:** Must establish VNet integration and service endpoints BEFORE disabling public access","App Service,Security,VNet,High Priority","Flip"
"What is the complete Container Security Pipeline implementation for ACR?","**Three-Layer Approach:**<br>1. **Microsoft Defender for Containers** - Detection & reporting (native vulnerability scanning)<br>2. **ACR Tasks** - Automated scanning in CI/CD pipeline (shift-left security)<br>3. **Azure Policy** - Governance & enforcement (deny unscanned/vulnerable images)<br><br>**Result:** Only approved, secure images reach production<br><br>**Why this combo works:** Defender scans, ACR Tasks automates, Policy enforces","Containers,Security,ACR,Critical,High Priority","Flip"
"Azure Container Instances (ACI) scaling limitation vs AKS?","**ACI Limitation:** NO in-place auto-scaling<br><br>**Scaling Process:**<br>1. Delete existing container group<br>2. Modify resource specs (CPU/memory)<br>3. Redeploy with new configuration<br><br>**ACI vs AKS:**<br>• ACI = Delete/redeploy (brief downtime)<br>• AKS = In-place HPA (zero downtime)<br><br>**Mnemonic:** ACI = ""A Container, Immutable""","ACI,Scaling,Containers,High Priority","MCQ"
"What are Fault Domains (FD) vs Update Domains (UD) in Azure?","**Fault Domains (FD):**<br>• Hardware isolation (rack, power, network switch)<br>• VMs in same FD can fail together<br>• Max 3 FDs in most regions<br><br>**Update Domains (UD):**<br>• Maintenance isolation (planned updates)<br>• Only one UD updated at a time<br>• Up to 20 UDs (default 5)<br><br>**Key:** FD = Hardware failure protection, UD = Maintenance isolation","VM,Availability,Fault Domains,High Priority","Flip"
"VMSS Orchestration Modes - Uniform vs Flexible comparison?","**Uniform Mode:**<br>• Identical VMs (same size/config)<br>• Up to 5 FDs (Platform Managed)<br>• Required Load Balancer for auto-scaling<br>• Automatic scale-in policy<br>• Best for: Stateless apps, web tiers<br><br>**Flexible Mode:**<br>• Mixed VM sizes & types allowed<br>• Up to 1000 FDs (Max Spreading)<br>• Optional Load Balancer<br>• Manual instance selection<br>• Best for: Stateful apps, databases","VMSS,Scaling,High Priority","MCQ"
"D-G-W-C sequence for encrypted VM migration?","**""Don't Go Without Coffee""**<br><br>**D** - Deallocate (stop VM, release compute)<br>**G** - Create target resource Group<br>**W** - Wait for deletion (az vm wait --deleted)<br>**C** - reCreate VM with encrypted disk<br><br>**Critical:** Portal move fails for encrypted VMs<br>**Mandatory:** az vm wait --deleted prevents ""resource in use"" errors","VM,Encryption,Migration,Critical,High Priority","Flip"
"What App Service runtime constraints exist between Windows and Linux plans?","**Windows Only:** ASP.NET, .NET Framework<br>**Linux Only:** Ruby, Docker Multi-Container<br>**Both:** .NET Core, Node.js, PHP, Python, Java<br><br>**Critical:** Cannot run .NET Framework (Windows) and Ruby (Linux) in same App Service Plan<br><br>**Multiple Apps:** All apps in plan share CPU/memory and must match plan OS","App Service,Runtime,OS Constraints,High Priority","MCQ"
"Container Apps ingress configuration options?","**External Ingress:**<br>• Internet traffic with public FQDN<br>• Format: app.kindcliff-123.eastus.azurecontainerapps.io<br><br>**Internal Ingress:**<br>• VNet only access - no internet<br><br>**Disabled:**<br>• No HTTP ingress<br><br>**Key Settings:**<br>• Target Port: Must match container listen port<br>• Traffic Splitting: Blue/green deployments","Container Apps,Ingress,High Priority","MCQ"
"Network Watcher Agent deployment methods?","**VM Extension:**<br>• Windows: Microsoft.Azure.NetworkWatcher.NetworkWatcherAgentWindows<br>• Linux: Microsoft.Azure.NetworkWatcher.NetworkWatcherAgentLinux<br><br>**Deployment:**<br>• Portal: VM → Extensions + Applications → Add NetworkWatcherAgent<br>• CLI: az vm extension set --name NetworkWatcherAgentLinux<br>• Auto-Install: When packet capture initiated<br><br>**Uses:** Packet capture, network diagnostics, troubleshooting","Network Watcher,Monitoring,High Priority","Flip"
